Country,Disease,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,Measles,"5,166","2,900",640,353,"2,012","1,511",638,"1,154",492,430,"2,787","3,013","1,989","2,861","1,599","1,141","1,990","1,296",466,798,"2,486","8,762","6,532","3,609","2,205",,,,,,,792,"1,609","1,170","4,561","10,357","8,107","14,457","16,199","18,808","20,320","31,107","32,455"
Albania,Measles,1,,4,488,"1,469",12,17,,,0,9,28,10,0,,22,68,6,7,8,16,18,662,797,"1,901","2,386","1,204",15,29,7,0,0,,"136,034",0,0,0,0,0,17,3,,
Algeria,Measles,47,,,"2,585","3,356",112,41,63,0,25,18,112,103,107,217,0,944,"2,302","3,289","15,374","5,862","2,686",,"2,503","3,301","19,573","21,003","8,204","5,913","3,141","8,823","5,969","1,796","4,169","2,634","2,500","3,975","20,114","22,553","22,126","29,584","20,849","15,527"
American Samoa,Measles,,,,,,,,,,,,0,,,0,0,,0,0,,,0,1,0,2,12,0,0,0,0,0,19,498,2,3,1,2,28,0,0,2,3,16
Andorra,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,,5,,,,,,,,,,,,,,,,,
Angola,Measles,"3,271",300,"1,085","2,987",57,29,53,119,"11,699","8,523","4,458","1,449","1,190","2,807",265,"1,014",765,258,29,"1,196","11,945","9,046","2,219",350,"2,576","8,183",251,635,"5,480","9,273","16,772","18,382","29,069","19,820","21,009","13,368","15,580","22,822","22,685","22,589","30,067","19,714","29,656"
Anguilla,Measles,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,1,15,7,2,0,0,0,0,0,1,0,0
Antigua and Barbuda,Measles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,247,"2,291"
Argentina,Measles,2,0,69,130,14,3,0,0,1,0,2,3,17,3,0,0,0,0,0,0,0,0,6,313,"10,229",125,59,655,134,"5,087","20,551","42,093","1,967","4,009","4,751","8,024","6,448","9,240","31,751","7,106","4,432","17,582","16,102"
Armenia,Measles,0,0,0,7,19,1,2,33,13,10,0,0,2,0,0,1,137,"2,281","1,783",4,40,69,15,41,52,802,"2,027",187,149,338,46,192,879,,,,,,,,,,
